melodieid,count,decade
2248,12,1640
126,12,1640
1338,12,1640
8757,12,1640
698,12,1640
127,12,1640
7804,12,1640
9064,12,1640
8277,11,1640
7721,11,1640
707,11,1640
7176,11,1640
2716,11,1640
9073,11,1640
6300,11,1640
776,10,1640
7932,10,1640
9363,10,1640
5385,10,1640
4969,10,1640
7169,10,1640
1374,10,1640
7173,10,1640
9086,10,1640
8252,9,1640
6631,9,1640
6339,9,1640
980,9,1640
6797,9,1640
7939,9,1640
7393,9,1640
9389,9,1640
7208,9,1640
2706,9,1640
9280,9,1640
4922,9,1640
4149,9,1640
4835,9,1640
6124,9,1640
714,9,1640
6740,8,1640
8212,8,1640
2642,8,1640
5313,8,1640
2668,8,1640
7417,8,1640
3456,8,1640
444,8,1640
2064,8,1640
7388,8,1640
8402,8,1640
4918,7,1640
5100,7,1640
7071,7,1640
4979,7,1640
7317,7,1640
6515,7,1640
2841,7,1640
5084,7,1640
4958,7,1640
8363,7,1640
3024,7,1640
9406,6,1640
3352,6,1640
7206,6,1640
9137,6,1640
4886,6,1640
349,6,1640
9353,6,1640
8186,6,1640
5226,6,1640
3305,6,1640
7415,6,1640
9206,6,1640
6722,6,1640
8745,6,1640
1317,6,1640
7069,6,1640
7648,6,1640
3603,6,1640
1242,6,1640
7802,6,1640
5064,6,1640
828,6,1640
282,6,1640
1856,5,1640
12661,5,1640
6904,5,1640
8859,5,1640
4459,5,1640
2654,5,1640
9240,5,1640
5336,5,1640
4908,5,1640
7463,5,1640
6606,5,1640
1358,5,1640
5241,5,1640
2285,5,1640
6982,5,1640
2434,5,1640
4592,5,1640
2260,5,1640
529,5,1640
6936,5,1640
4895,5,1640
7238,5,1640
2933,5,1640
1876,4,1640
5071,4,1640
5282,4,1640
2278,4,1640
5455,4,1640
8068,4,1640
11331,4,1640
7666,4,1640
7900,4,1640
387,4,1640
6968,4,1640
9426,4,1640
6391,4,1640
57,4,1640
4357,4,1640
3922,4,1640
6542,4,1640
5069,4,1640
4709,4,1640
4850,4,1640
13558,4,1640
3682,4,1640
7299,4,1640
1359,4,1640
7362,4,1640
808,4,1640
8306,4,1640
9333,4,1640
4650,4,1640
8848,4,1640
6368,4,1640
3937,4,1640
5063,4,1640
9515,4,1640
1379,4,1640
9726,4,1640
7158,4,1640
8770,4,1640
4240,4,1640
7787,3,1640
7535,3,1640
2697,3,1640
4116,3,1640
6056,3,1640
7230,3,1640
1731,3,1640
3009,3,1640
1848,3,1640
374,3,1640
1352,3,1640
4196,3,1640
5656,3,1640
7223,3,1640
3329,3,1640
24,3,1640
4031,3,1640
8150,3,1640
5248,3,1640
4772,3,1640
6699,3,1640
4812,3,1640
7225,3,1640
3957,3,1640
1269,3,1640
750,3,1640
9617,3,1640
3526,3,1640
