location,decade,pop_estimate,error
Leiden,1750,40238.48648648649,0.05309358258598736
Delft,1750,19558.459459459453,0.06607910035472285
Groningen,1750,22552.891891891893,0.069858602660173
Zwolle,1750,11208.81081081081,0.051752241238793704
Heerenveen,1750,1301.3243243243244,0.056200544144219045
Woerden,1750,3181.243243243243,0.06360763257607936
Dokkum,1750,2747.054054054054,0.05635521098769198
Gouda,1750,16818.027027027027,0.06602631989162204
Gorinchem,1750,6211.054054054054,0.0666640558028624
Leeuwarden,1750,13832.2972972973,0.05701696968512803
Steenwijk,1750,1682.8378378378377,0.051553842447602936
Vlissingen,1750,7451.1621621621625,0.05972222726003199
Middelburg,1750,26092.243243243247,0.06349199772532589
Veere,1750,1514.4864864864865,0.10768077664358625
Zaandam,1750,12473.08108108108,0.05008407294411307
Alkmaar,1750,12448.945945945947,0.06660283840377265
Enkhuizen,1750,10625.783783783783,0.06558753058597898
Antwerpen,1760,46833.625,0.060615102930853725
Ieper,1760,12478.149999999998,0.05688142873743316
Duinkerken,1760,16228.275,0.06507469216537193
Brugge,1760,29127.75000000001,0.052704036528740054
Gent,1760,48783.275,0.053803788286046775
Brussel,1760,69669.15000000001,0.06515581143160215
Leuven,1760,16167.624999999996,0.052278859758313215
Amsterdam,1760,220172.67500000002,0.03863819613401168
Den Haag,1760,37289.975,0.06971712906753089
Rotterdam,1760,40349.674999999996,0.06994294253918994
Haarlem,1760,26384.825,0.05634962521070355
Utrecht,1760,28936.599999999995,0.057817780941782554
Hoorn,1760,11788.349999999999,0.0690724316804301
Dordrecht,1760,19083.624999999996,0.06910636736993062
Deventer,1760,8272.3,0.05038501988564247
Leiden,1760,37065.725000000006,0.056492892018164945
Delft,1760,18381.9,0.0688761771090044
Groningen,1760,22992.725,0.059156755017076026
Zwolle,1760,11189.900000000001,0.0503780194639811
Heerenveen,1760,1319.425,0.05631240881444565
Woerden,1760,3097.6750000000006,0.06583163178835774
Dokkum,1760,2715.95,0.0564167234301073
Gouda,1760,15744.85,0.06889078015986175
Gorinchem,1760,5951.95,0.06910340308638349
Leeuwarden,1760,13977.75,0.057008459873728046
Steenwijk,1760,1737.25,0.050525255432436376
Vlissingen,1760,7222.225,0.05808459304438729
Middelburg,1760,25010.7,0.061021882634232576
Veere,1760,1566.325,0.09423331684037485
